Show Name,Theatre Name,Start Date,End Date,Link
"Generation of Light | EXPERIMENT Work In Progress","www.theatreroyal.com","31 May 2025","","https://theatreroyal.com/whats-on/2025a-generations-of-light/"
"Ballet BC: Double Bill","www.theatreroyal.com","04 Jun 2025","","https://theatreroyal.com/whats-on/ballet-bc/"
"Bat Out of Hell: The Musical","CHELTENHAM - Everyman Theatre","5 APR 2025","","https://www.everymantheatre.org.uk/shows/bat-out-of-hell/"
"Bat Out of Hell: The Musical","GLASGOW - King's Theatre","19 APR 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/kings-theatre-glasgow/"
"Bat Out of Hell: The Musical","LEEDS - Grand Theatre","26 APR 2025","","https://leedsheritagetheatres.com/whats-on/bat-out-of-hell-2025/"
"Bat Out of Hell: The Musical","SHEFFIELD - Lyceum Theatre","3 MAY 2025","","https://www.sheffieldtheatres.co.uk/events/bat-out-of-hell-2024"
"Bat Out of Hell: The Musical","WOKING - New Victoria Theatre","10 MAY 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/new-victoria-theatre/"
"Bat Out of Hell: The Musical","PLYMOUTH - Theatre Royal","17 MAY 2025","","https://theatreroyal.com/whats-on/bat-out-of-hell/#book"
"Bat Out of Hell: The Musical","LONDON - Peacock Theatre","7 JUN 2025","","https://www.sadlerswells.com/whats-on/bat-out-of-hell-the-musical/"
"Bat Out of Hell: The Musical","Leicester - Curve Theatre","14 JUN 2025","","https://www.curveonline.co.uk/whats-on/shows/bat-out-of-hell/"
"Bat Out of Hell: The Musical","Milton Keynes - Milton Keynes Theatre","28 JUN 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/milton-keynes-theatre/"
"Bat Out of Hell: The Musical","Stoke-on-Trent - Regent Theatre","5 JUL 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/regent-theatre/"
"Bat Out of Hell: The Musical","Wolverhampton - Wolverhampton Grand Theatre","19 JUL 2025","","https://www.grandtheatre.co.uk/whats-on/bat-out-of-hell/"
"Bat Out of Hell: The Musical","HIGH WYCOMBE - Wycombe Swan Theatre","26 JUL 2025","","https://trafalgartickets.com/wycombe-swan-theatre/en-GB/event/musical/bat-out-of-hell-tickets"
"Bat Out of Hell: The Musical","CANTERBURY - Marlowe Theatre","2 AUG 2025","","https://marlowetheatre.com/shows/bat-out-of-hell-2/"
"Bat Out of Hell: The Musical","SOUTHEND - Cliffs Pavilion Theatre","9 AUG 2025","","https://trafalgartickets.com/cliffs-pavilion-southend/en-GB/event/musical/bat-out-of-hell-tickets"
"Bat Out of Hell: The Musical","SUNDERLAND - Empire Theatre","23 AUG 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/sunderland-empire"
"Bat Out of Hell: The Musical","Eastbourne - Congress Theatre","30 AUG 2025","","https://www.eastbournetheatres.co.uk/events/batoutofhell2025"
"Bat Out of Hell: The Musical","BRISTOL - Hippodrome Theatre","13 SEP 2025","","https://www.atgtickets.com/shows/bat-out-of-hell/bristol-hippodrome"
"Bat Out of Hell: The Musical","NORTHAMPTON - Royal & Derngate","20 SEP 2025","","https://www.royalandderngate.co.uk/whats-on/bat-out-of-hell/"
"Six Characters in Search of an Author","Aylesbury Waterside Theatre","20 May 2025","24 May 2025","https://www.atgtickets.com/shows/six/aylesbury-waterside-theatre/?gad_source=1&gclid=Cj0KCQjw9Km3BhDjARIsAGUb4nzjiLUOKdW4mlB_ifW9KLiVDEH2kXOvprZJ-3szzFU56hkyrGW4USQaAnyhEALw_wcB&gclsrc=aw.ds"
"Six Characters in Search of an Author","Curve Theatre - Leicester","27 May 2025","31 May 2025","https://www.curveonline.co.uk/whats-on/shows/six-3/"
"Six Characters in Search of an Author","Hull New Theatre","3 Jun 2025","7 Jun 2025","https://www.hulltheatres.co.uk/theatre-events/SIX%20The%20Musical"
"Six Characters in Search of an Author","Grand Opera House, Belfast","10 Jun 2025","14 Jun 2025","https://www.goh.co.uk/whats-on/six-the-musical"
"Six Characters in Search of an Author","Bord Gáis Energy Theatre","17 Jun 2025","28 June 2025","https://www.bordgaisenergytheatre.ie/show/six/"
"Six Characters in Search of an Author","Rhyl Pavilion Theatre","1 July 2025","5 July 2025","https://rhylpavilion.co.uk/events_list/six/"
"Six Characters in Search of an Author","Leeds Grand Theatre","8 Jul 2025","12 Jul 2025","https://leedsheritagetheatres.com/whats-on/six-2025/"
"Six Characters in Search of an Author","Belgrade Theatre, Coventry","15 Jul 2025","19 Jul 2025","https://www.belgrade.co.uk/events/six-7/"
"Six Characters in Search of an Author","Skegness - Embassy Theatre","22 Jul 2025","26 Jul 2025","https://embassytheatre.co.uk/shows/six/"
"Six Characters in Search of an Author","Salford - The Lowry","29 Jul 2025","3 Aug 2025","https://thelowry.com/whats-on/299//six"
"Six Characters in Search of an Author","His Majesty's Theatre Aberdeen","5 Aug 2025","9 Aug 2025","https://www.aberdeenperformingarts.com/whats-on/six-2/"
